location,time,employment_protection_value,total_investment,r_d_research_value,gdp_growth,new_mental_health_units,population
AUS,2008,1.6309524,12101027770,20262.3291764202,3.6577667597209143,2745,21249200
AUS,2009,1.6309524,12651361468,NA,1.9227272928833372,0,21691700
AUS,2010,1.9880953,16624426441,20591.8985131489,2.0529420039533193,0,22031750
AUS,2011,1.9880953,22482681676,20725.6161021354,2.4511050826840233,NA,22340024
AUS,2012,1.9880953,28261571799,NA,3.891940026478906,NA,22733465
AUS,2013,1.9404762,22346485072,21607.9881880432,2.6394823570563943,NA,23128129
AUT,2008,2.4421768,2867000000,9219.70726800936,1.4604251931814076,0,8321496
AUT,2009,2.4421768,2953000000,8966.85494310941,-3.764580483080877,1653,8343323
AUT,2010,2.4421768,2511000000,9586.50029694663,1.837094591525016,0,8363404
AUT,2011,2.4421768,2448000000,9658.8619100342,2.922797636363825,NA,8391643
AUT,2012,2.4421768,2018000000,10621.1509582085,0.6804443742486797,NA,8429991
AUT,2013,2.4421768,2022000000,10770.3832883799,0.025504100615833636,NA,8479823
BEL,2008,2.9948978,1645865787,8368.98034815543,0.7831730377547501,0,10709973
BEL,2009,2.9948978,2102314281,8440.76607907404,-2.2531746349459354,0,10796493
BEL,2010,3.1309524,2138467073,8958.22353303057,2.74421327182894,0,10895586
BEL,2011,3.1309524,1970066303,9584.11978675045,1.7983026591308402,NA,11038264
BEL,2012,2.9948978,2348431630,10132.5930026146,0.23479692439649114,NA,11106932
BEL,2013,2.9948978,2244786096,10423.5510689606,0.2006504436526484,NA,11159407
CAN,2008,1.5058106,10362983389,25311.7141262565,1.0003609729592142,4272,33247118
CAN,2009,1.5058106,12413575575,25382.0616294914,-2.9495876427671277,0,33628895
CAN,2010,1.5058106,17002561287,24903.0745682261,3.0835142198872205,0,34004889
CAN,2011,1.5058106,16886449548,25148.2444011652,3.1412190013903967,NA,34339328
CAN,2012,1.5058106,17185554172,25376.893315230802,1.7454722831800495,NA,34714222
CAN,2013,1.5058106,15830166618,25027.2041907452,2.4750018591249017,NA,35082954
DNK,2008,2.2749434,1399409871,6836.27755307354,-0.5120252218057431,0,5493621
DNK,2009,2.2749434,1228663900,7161.10783171175,-4.906525558097087,774,5523095
DNK,2010,2.2749434,1430336234,6965.39368568243,1.8709926386621447,0,5547683
DNK,2011,2.3202949,2008267680,7125.25375978684,1.3367746666622509,NA,5570572
DNK,2012,2.3202949,2335097665,7230.14499358567,0.22646847587151342,NA,5591572
DNK,2013,2.3202949,2273562264,7271.27420027755,0.9333492815162288,NA,5614932
FIN,2008,2.1666667,1648000000,7808.01526141261,0.7206684874099238,1500,5313399
FIN,2009,2.1666667,1461000000,7569.74229142166,-8.269036558271054,0,5338871
FIN,2010,2.1666667,1394000000,7748.72241016661,2.9923375022018632,0,5363352
FIN,2011,2.1666667,1450000000,7761.99685517674,2.5708177445216336,NA,5388272
FIN,2012,2.1666667,1681000000,7190.11618390616,-1.4261893595956394,NA,5413971
FIN,2013,2.1666667,1831000000,6859.54292904206,-0.7580362948200872,NA,5438972
FRA,2008,2.8701813,18871901651,48667.6849611186,0.19529476711906568,14000,64374984
FRA,2009,2.8225625,19324464990,50694.3140597897,-2.941341057959491,0,64707040
FRA,2010,2.8225625,19504363953,50908.1617763668,1.965657376414967,0,65027507
FRA,2011,2.8225625,19306195274,52277.7403126656,2.079229174320105,NA,65342780
FRA,2012,2.8225625,20659821707,53220.4315712306,0.18269303419411642,NA,65659809
FRA,2013,2.8225625,22486078472,53766.4799027931,0.5762415457775774,NA,65998687
