time,Gross Domestic Product (Expenditure) current basic prices index SA,Gross Domestic Product (Income) chained volume index: SA,Gross Domestic Product (Income) current basic prices index SA,Gross Domestic Product (Expenditure) chained volume index: SA,Gross Domestic Product: Year on Year growth: CVM SA %,Gross Domestic Product: Quarter on Quarter growth: CVM SA %,Gross Domestic Product: quarter on quarter growth rate: CP SA %,Gross Domestic Product: q-on-q4 growth quarter growth: CP SA %,Gross Domestic Product: q-on-q4 growth rate CVM SA %,Gross Domestic Product (Income) current basic prices: aligned: SA £m,Gross Domestic Product (Expenditure) chained volume measure SA £m,Gross Domestic Product (Expenditure) current basic prices: aligned:SA £m,Gross Domestic Product at market prices: CP: NSA £m,Gross Domestic Product index: Current price: Seasonally adjusted,Gross Domestic Product: chained volume measures: Seasonally adjusted £m,Gross Domestic Product at market prices: Current price: Seasonally adjusted £m,Gross Domestic Product at market prices:Implied deflator:SA 2017=100,"Gross Domestic Product at market prices, q-on-q4 growth: CP: NSA £m","Gross Domestic Product at market prices, q-on-q1 growth: CP: NSA £m"
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,0.6,17.8,0.6,17.5,NA,NA,NA,NA,NA,10598.0,307805.0,10465.0,11581.0,0.6,350107.0,11581.0,NA,NA,NA
1949,0.6,18.5,0.7,18.1,3.4,NA,NA,NA,NA,11450.0,318011.0,11188.0,12348.0,0.6,361943.0,12348.0,NA,NA,NA
1950,0.7,19.1,0.7,18.7,3.3,NA,NA,NA,NA,11910.0,328670.0,11668.0,12926.0,0.7,373923.0,12926.0,NA,NA,NA
1951,0.7,19.7,0.8,19.4,3.7,NA,NA,NA,NA,13302.0,340952.0,13095.0,14518.0,0.7,387897.0,14518.0,NA,NA,NA
1952,0.8,20.1,0.8,19.8,1.6,NA,NA,NA,NA,14524.0,348086.0,14310.0,15772.0,0.8,394071.0,15772.0,NA,NA,NA
1953,0.9,21.1,0.9,21.0,5.5,NA,NA,NA,NA,15471.0,369516.0,15434.0,16922.0,0.9,415828.0,16922.0,NA,NA,NA
1954,0.9,22.1,0.9,21.9,4.3,NA,NA,NA,NA,16465.0,384839.0,16297.0,17855.0,0.9,433699.0,17855.0,NA,NA,NA
1955,1.0,22.9,1.0,22.7,3.8,NA,NA,NA,NA,17842.0,399385.0,17697.0,19416.0,1.0,450283.0,19416.0,4.2186,NA,NA
1956,1.1,23.3,1.1,23.2,1.6,NA,NA,NA,NA,19326.0,408209.0,19315.0,21087.0,1.1,457560.0,21087.0,4.5093,NA,NA
1957,1.2,23.7,1.2,23.8,1.9,NA,NA,NA,NA,20510.0,417550.0,20612.0,22365.0,1.1,466326.0,22365.0,4.6929,NA,NA
1958,1.2,23.9,1.2,24.0,1.3,NA,NA,NA,NA,21603.0,421602.0,21680.0,23500.0,1.2,472262.0,23500.0,4.8689,NA,NA
1959,1.3,25.0,1.3,24.9,4.1,NA,NA,NA,NA,22762.0,437587.0,22727.0,24654.0,1.3,491664.0,24654.0,4.9064,NA,NA
1960,1.4,27.0,1.4,26.4,6.3,NA,NA,NA,NA,24989.0,463849.0,24418.0,26476.0,1.3,522502.0,26476.0,4.9577,NA,NA
1961,1.5,27.7,1.5,27.3,2.7,NA,NA,NA,NA,26529.0,479331.0,26122.0,28142.0,1.4,536490.0,28142.0,5.1327,NA,NA
1962,1.6,28.2,1.6,27.6,1.1,NA,NA,NA,NA,27855.0,485515.0,27275.0,29460.0,1.5,542407.0,29460.0,5.3141,NA,NA
1963,1.7,29.1,1.7,29.0,4.9,NA,NA,NA,NA,29107.0,509493.0,29005.0,31324.0,1.6,568846.0,31324.0,5.3867,NA,NA
1964,1.8,30.7,1.8,30.6,5.5,NA,NA,NA,NA,31639.0,538178.0,31557.0,34237.0,1.7,600324.0,34237.0,5.579,NA,NA
1965,1.9,31.5,1.9,31.4,2.1,NA,NA,NA,NA,34147.0,551343.0,33995.0,37036.0,1.9,613184.0,37036.0,5.9093,NA,NA
1966,2.1,31.9,2.1,31.9,1.6,NA,NA,NA,NA,36275.0,559858.0,36275.0,39573.0,2.0,622830.0,39573.0,6.2167,NA,NA
1967,2.2,32.4,2.2,32.7,2.8,NA,NA,NA,NA,38494.0,573887.0,38779.0,41901.0,2.1,640185.0,41901.0,6.4037,NA,NA
1968,2.4,34.2,2.4,34.6,5.4,NA,NA,NA,NA,42023.0,606756.0,42447.0,46008.0,2.3,675018.0,46008.0,6.668,NA,NA
1969,2.6,35.3,2.6,35.0,1.9,NA,NA,NA,NA,45842.0,615175.0,45486.0,49909.0,2.5,688006.0,49909.0,7.0971,NA,NA
1970,2.9,36.2,2.9,36.0,2.7,NA,NA,NA,NA,51710.0,631404.0,51372.0,56177.0,2.9,706651.0,56177.0,7.7755,NA,NA
1971,3.3,37.2,3.3,37.6,3.5,NA,NA,NA,NA,57735.0,659735.0,58338.0,62948.0,3.2,731273.0,62948.0,8.4203,NA,NA
